,ZeroR,Aleat,Estra,OneR ,Naive,KMean,KGA,KNN,DistK,Árvor,Flore
ZeroR,1.00e+00,2.90e-14,4.28e-10,2.99e-23,1.35e-31,9.51e-32,1.38e-31,9.41e-34,9.41e-34,8.46e-29,2.93e-33
Aleatorio,1.67e-06,1.00e+00,1.05e-03,2.64e-21,6.03e-26,1.35e-26,1.08e-26,2.10e-26,2.10e-26,1.69e-24,2.21e-27
Estratificado,2.27e-06,2.41e-03,1.00e+00,5.54e-23,6.81e-25,7.91e-24,1.30e-24,6.06e-25,6.06e-25,2.20e-23,1.60e-24
OneR Probab,1.64e-06,1.69e-06,1.70e-06,1.00e+00,2.81e-13,1.08e-13,2.76e-14,1.03e-15,1.03e-15,1.71e-10,1.25e-14
Naive Bayes,1.60e-06,1.72e-06,1.70e-06,1.70e-06,1.00e+00,2.63e-03,3.68e-04,7.23e-07,7.23e-07,1.30e-01,1.34e-05
KMeans,1.67e-06,1.70e-06,1.71e-06,1.98e-06,6.06e-03,1.00e+00,5.42e-01,3.13e-02,3.13e-02,1.35e-05,2.48e-01
KGA,1.65e-06,1.71e-06,1.71e-06,3.63e-06,1.62e-03,3.89e-01,1.00e+00,9.90e-02,9.90e-02,5.12e-05,7.86e-01
KNN,1.54e-06,1.70e-06,1.71e-06,2.37e-06,3.23e-05,4.56e-02,2.14e-01,1.00e+00,1.00e+00,3.04e-08,6.28e-02
DistKNN,1.54e-06,1.70e-06,1.71e-06,2.37e-06,3.23e-05,4.56e-02,2.14e-01,1.00e+00,1.00e+00,3.04e-08,6.28e-02
Árvore Desc,1.65e-06,1.70e-06,1.70e-06,2.79e-06,1.64e-01,1.71e-04,3.27e-04,7.55e-06,7.55e-06,1.00e+00,1.75e-07
Floresta,1.62e-06,1.68e-06,1.72e-06,2.46e-06,1.83e-04,1.37e-01,6.47e-01,1.81e-01,1.81e-01,2.46e-05,1.00e+00
