,ZeroR,Aleat,Estra,OneR ,Naive,KMean,KGA,KNN,DistK,Árvor,Flore
ZeroR,1.00e+00,9.15e-01,4.09e-03,2.77e-17,4.23e-41,3.38e-51,1.03e-53,2.32e-56,1.88e-57,7.96e-46,3.29e-56
Aleatorio,8.20e-01,1.00e+00,2.45e-02,3.47e-13,1.31e-38,2.67e-46,9.31e-47,9.25e-47,3.70e-47,7.77e-43,1.48e-47
Estratificado,8.79e-03,1.98e-02,1.00e+00,2.39e-11,4.23e-38,6.88e-44,2.88e-45,2.81e-45,3.18e-45,1.44e-41,1.98e-44
OneR Probab,1.72e-06,1.73e-06,2.22e-06,1.00e+00,1.06e-38,3.80e-43,4.62e-43,1.53e-45,2.66e-45,1.59e-42,2.50e-45
Naive Bayes,1.71e-06,1.73e-06,1.72e-06,1.72e-06,1.00e+00,2.33e-23,2.47e-22,1.73e-24,2.15e-25,9.64e-12,2.12e-25
KMeans,1.69e-06,1.73e-06,1.72e-06,1.72e-06,1.72e-06,1.00e+00,5.90e-02,9.54e-10,4.11e-10,5.05e-20,4.43e-09
KGA,1.68e-06,1.72e-06,1.71e-06,1.71e-06,1.73e-06,3.37e-02,1.00e+00,7.29e-11,4.26e-10,1.45e-18,4.30e-07
KNN,1.66e-06,1.72e-06,1.71e-06,1.72e-06,1.72e-06,3.74e-06,2.50e-06,1.00e+00,4.04e-01,1.33e-21,7.98e-01
DistKNN,1.65e-06,1.71e-06,1.71e-06,1.71e-06,1.73e-06,3.14e-06,3.85e-06,7.24e-01,1.00e+00,1.62e-21,9.13e-01
Árvore Desc,1.72e-06,1.72e-06,1.72e-06,1.72e-06,3.15e-06,1.71e-06,1.72e-06,1.72e-06,1.72e-06,1.00e+00,5.70e-21
Floresta,1.69e-06,1.70e-06,1.72e-06,1.72e-06,1.73e-06,1.84e-05,3.37e-05,9.46e-01,9.61e-01,1.72e-06,1.00e+00
