,ZeroR,Aleat,Estra,OneR ,Naive,KMean,KGA,KNN,DistK,Árvor,Flore
ZeroR,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aleatorio,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Estratificado,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
OneR Probab,0.000,0.000,0.000,1.000,0.002,0.005,0.053,0.041,0.009,0.004,0.001
Naive Bayes,0.000,0.000,0.000,0.004,1.000,0.845,0.475,0.423,0.601,1.000,0.745
KMeans,0.000,0.000,0.000,0.008,0.868,1.000,0.202,0.283,0.448,0.787,0.601
KGA,0.000,0.000,0.000,0.062,0.508,0.206,1.000,1.000,0.573,0.403,0.557
KNN,0.000,0.000,0.000,0.044,0.475,0.305,1.000,1.000,0.326,0.380,0.415
DistKNN,0.000,0.000,0.000,0.011,0.593,0.439,0.439,0.257,1.000,0.601,0.712
Árvore Desc,0.000,0.000,0.000,0.005,1.000,0.782,0.449,0.439,0.593,1.000,0.745
Floresta,0.000,0.000,0.000,0.002,0.739,0.593,0.635,0.480,0.705,0.739,1.000
