,ZeroR,Aleat,Estra,OneR ,Naive,KMean,KGA,KNN,DistK,Árvor,Flore
ZeroR,1.00e+00,1.34e-08,1.95e-24,1.15e-17,1.14e-29,2.95e-29,1.13e-30,6.10e-29,4.33e-29,4.97e-27,1.71e-35
Aleatorio,3.33e-07,1.00e+00,3.66e-06,1.80e-20,5.80e-35,4.68e-34,1.71e-35,1.07e-31,1.02e-31,8.85e-27,2.54e-38
Estratificado,3.33e-07,3.49e-03,1.00e+00,2.55e-22,1.68e-34,8.26e-34,6.82e-36,4.77e-33,3.30e-33,5.62e-30,1.26e-42
OneR Probab,1.60e-06,1.61e-06,1.61e-06,1.00e+00,1.50e-17,7.32e-17,2.59e-17,5.38e-17,3.11e-17,3.18e-13,1.20e-18
Naive Bayes,8.06e-07,8.06e-07,8.02e-07,1.63e-06,1.00e+00,1.58e-01,5.05e-01,3.17e-03,1.67e-03,6.18e-08,1.61e-01
KMeans,1.14e-06,1.14e-06,1.14e-06,1.64e-06,1.32e-01,1.00e+00,3.26e-01,3.37e-02,1.98e-02,8.27e-06,3.69e-02
KGA,1.14e-06,1.14e-06,1.14e-06,1.64e-06,7.63e-01,3.17e-01,1.00e+00,5.74e-03,3.02e-03,1.12e-06,3.07e-02
KNN,1.33e-06,1.33e-06,1.33e-06,1.64e-06,1.57e-02,1.72e-01,2.58e-02,1.00e+00,3.26e-01,1.85e-05,1.72e-03
DistKNN,1.30e-06,1.29e-06,1.30e-06,1.64e-06,1.03e-02,1.23e-01,1.70e-02,3.17e-01,1.00e+00,6.00e-05,9.76e-04
Árvore Desc,1.56e-06,1.56e-06,1.56e-06,2.48e-06,3.25e-05,2.55e-04,7.55e-05,4.23e-04,6.82e-04,1.00e+00,4.86e-08
Floresta,9.73e-07,9.63e-07,9.69e-07,1.66e-06,8.81e-02,2.78e-02,2.72e-02,2.78e-03,1.79e-03,2.42e-05,1.00e+00
